id,symbol,partner_symbol,data_available_from
28328,1ST,1ST,2016-12-09 00:00:00
925200,1WO,1WO,2017-11-30 00:00:00
925291,AAC,AAC,2017-12-29 00:00:00
925864,ABCC,AT,2018-07-08 00:00:00
758055,ABT,ABT,2018-02-23 00:00:00
419711,ABYSS,ABYSS,2018-04-18 00:00:00
716854,ACCN,ACC,2017-10-06 00:00:00
294364,ACE,ACE,2017-11-07 00:00:00
321992,ADA,ADA,2017-09-23 00:00:00
468052,ADB,ADB,2017-12-13 00:00:00
866454,ADH,ADH,2018-04-10 00:00:00
780883,ADI,ADI,2017-12-28 00:00:00
127738,ADL,ADL,2018-01-24 00:00:00
188858,ADT,ADT,2017-06-19 00:00:00
170452,ADX,ADX,2017-06-30 00:00:00
190978,AE,AE,2017-09-02 00:00:00
924988,AEN,AEN,2018-04-30 00:00:00
928382,AERGO,AERGO,2018-11-22 00:00:00
710156,AGI,AGI,2017-12-21 00:00:00
928332,AGVC,AGVC,2019-03-04 00:00:00
368770,AID,AID,2017-11-20 00:00:00
684818,AIDOC,AIDOC,2017-12-17 00:00:00
777027,AIT,AIT,2018-01-05 00:00:00
187030,AIX,AIX,2017-11-14 00:00:00
331603,ALIS,ALIS,2017-08-25 00:00:00
787696,ALX,ALX,2018-05-03 00:00:00
238733,AMB,AMB,2017-10-22 00:00:00
925145,AMLT,AMLT,2017-11-10 00:00:00
589881,AMM,AMM,2017-09-13 00:00:00
890663,AMN,AMN,2018-02-24 00:00:00
889900,AMO,AMO,2018-04-24 00:00:00
929313,ANKR,ANKR,2019-02-21 00:00:00
78152,ANT,ANT,2017-05-15 00:00:00
918501,AOA,AOA,2018-05-18 00:00:00
906171,APIS,APIS,2018-03-04 00:00:00
346812,APPC,APPC,2017-11-06 00:00:00
925945,ARAW,ARAW,2018-06-20 00:00:00
924926,ARBT,ARB,2018-03-08 00:00:00
707530,ARCT,ARCT,2017-11-08 00:00:00
335127,ARN,ARN,2017-11-03 00:00:00
311558,ART,ART,2017-09-05 00:00:00
769416,ARY,ARY,2017-12-23 00:00:00
337162,AST,AST,2017-10-10 00:00:00
924963,ASTO,ATX,2018-02-23 00:00:00
235213,ATL,ATL,2017-08-31 00:00:00
368694,ATM,ATM,2017-09-18 00:00:00
920748,ATMI,ATMI,2018-05-23 00:00:00
345017,ATS,ATS,2017-09-14 00:00:00
792023,AUC,AUC,2018-03-26 00:00:00
922140,AVH,AVH,2018-01-20 00:00:00
138642,AVT,AVT,2017-09-03 00:00:00
929381,AWC,AWC,2018-06-18 00:00:00
727769,AXPR,AXPR,2018-07-22 00:00:00
517795,B2B,B2B,2017-09-13 00:00:00
925550,BAAS,BAAS,2018-06-12 00:00:00
757568,BANCA,BANCA,2018-02-02 00:00:00
107672,BAT,BAT,2017-05-29 00:00:00
784595,BAX,BAX,2018-02-05 00:00:00
